text,연번,시도명,자치구명,도로(가로)명,합,세부위치,설치장소유형,수거 쓰레기 종류,형태,설치연도,관리기관명,관리기관전화번호,데이터기준일
대전광역시 동구 동대전로 135,60,대전광역시,동구,동대전로 135,대전광역시 동구 동대전로 135,파리바게뜨,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 동대전로 158-3,61,대전광역시,동구,동대전로 158-3,대전광역시 동구 동대전로 158-3,곰브라더스,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 823,62,대전광역시,동구,대전로 823,대전광역시 동구 대전로 823,한송헤어샵,횡단보도 옆,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 818,63,대전광역시,동구,대전로 818,대전광역시 동구 대전로 818,중부서점,횡단보도 옆,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 829,64,대전광역시,동구,대전로 829,대전광역시 동구 대전로 829,더블유에스 제이점,도로(가로변),일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 814,65,대전광역시,동구,대전로 814,대전광역시 동구 대전로 814,김밥천국,도로(가로변),일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 832-2,66,대전광역시,동구,대전로 832-2,대전광역시 동구 대전로 832-2,진약국,도로(가로변),일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 중앙로 185,67,대전광역시,동구,중앙로 185,대전광역시 동구 중앙로 185,우리은행,횡단보도 옆,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 중앙로193번길 4,68,대전광역시,동구,중앙로193번길 4,대전광역시 동구 중앙로193번길 4,장준서아카데미,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 중앙로 206,69,대전광역시,동구,중앙로 206,대전광역시 동구 중앙로 206,다온제이,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 577,70,대전광역시,동구,대전로 577,대전광역시 동구 대전로 577,청원종합장식,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 580,71,대전광역시,동구,대전로 580,대전광역시 동구 대전로 580,가가가 노래방기계대여,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 509,72,대전광역시,동구,대전로 509,대전광역시 동구 대전로 509,한국토지주택 충남본부,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 502,73,대전광역시,동구,대전로 502,대전광역시 동구 대전로 502,카로드,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 옥천로 190,74,대전광역시,동구,옥천로 190,대전광역시 동구 옥천로 190,GS25,도로(가로변),일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 옥천로 157,75,대전광역시,동구,옥천로 157,대전광역시 동구 옥천로 157,판암역 3번출구,도로(가로변),일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 옥천로 152-9,76,대전광역시,동구,옥천로 152-9,대전광역시 동구 옥천로 152-9,판암역 2번출구,도로(가로변),일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 1012,77,대전광역시,동구,대전로 1012,대전광역시 동구 대전로 1012,친환경페인트,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 계족로 42-1,78,대전광역시,동구,계족로 42-1,대전광역시 동구 계족로 42-1,공터,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 계족로 37,79,대전광역시,동구,계족로 37,대전광역시 동구 계족로 37,영성일약국,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 621-1,80,대전광역시,동구,대전로 621-1,대전광역시 동구 대전로 621-1,예성지갑,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대전로 646,81,대전광역시,동구,대전로 646,대전광역시 동구 대전로 646,효동현대아파트 106동 앞,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 계족로140번길 162,82,대전광역시,동구,계족로140번길 162,대전광역시 동구 계족로140번길 162,명문건설환경,도로(가로변),일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대학로 91,83,대전광역시,동구,대학로 91,대전광역시 동구 대학로 91,고향촌칼국수,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대학로 62-67,84,대전광역시,동구,대학로 62-67,대전광역시 동구 대학로 62-67,스마트빌,도로(가로변),일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대학로 43,85,대전광역시,동구,대학로 43,대전광역시 동구 대학로 43,전화위복,도로(가로변),일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 대학로 62-67,86,대전광역시,동구,대학로 62-67,대전광역시 동구 대학로 62-67,스마트빌,도로(가로변),일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 백룡로 66,87,대전광역시,동구,백룡로 66,대전광역시 동구 백룡로 66,주향한교회,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 용운로 89,88,대전광역시,동구,용운로 89,대전광역시 동구 용운로 89,씨케이건설,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
대전광역시 동구 산내로 1280-1,89,대전광역시,동구,산내로 1280-1,대전광역시 동구 산내로 1280-1,원메밀막국수,도로(가로변),일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2021-08-31
