No,¼³Ä¡ÁÖ¼Ò,°æµµ,À§µµ,»óÅÂ
30,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³­°î·Î 367,126.9133525,37.48669888,Á¤ÁÂÇ¥
31,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³­°î·Î 249,126.9155546,37.47617969,Á¤ÁÂÇ¥
32,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³­°î·Î 264,126.9156748,37.47754242,Á¤ÁÂÇ¥
33,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½ÃÈï´ë·Î576,126.9030787,37.48406954,Á¤ÁÂÇ¥
34,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ Á¶¿øÁß¾Ó·Î1±æ 6,126.9041772,37.48069383,Á¤ÁÂÇ¥
35,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1634 ,126.9321923,37.48416347,Á¤ÁÂÇ¥
36,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î59±æ 14,126.9287753,37.48328846,Á¤ÁÂÇ¥
37,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î59±æ 14,126.9287753,37.48328846,Á¤ÁÂÇ¥
38,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 171,126.952232,37.48055233,Á¤ÁÂÇ¥
39,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 171,126.952232,37.48055233,Á¤ÁÂÇ¥
40,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1900,126.960168,37.47804936,Á¤ÁÂÇ¥
41,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1599-3,126.9282643,37.48447686,Á¤ÁÂÇ¥
42,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 355-1,126.9291724,37.48610036,Á¤ÁÂÇ¥
43,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1841-1,126.9548441,37.48074135,Á¤ÁÂÇ¥
44,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1605,126.9290851,37.48437501,Á¤ÁÂÇ¥
45,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1587,126.9269396,37.48427782,Á¤ÁÂÇ¥
46,¼­¿ïÆ¯º°½Ã ³²ºÎ¼øÈ¯·Î 1940,126.9642862,37.47647378,Á¤ÁÂÇ¥
47,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1785,126.94863,37.48204084,Á¤ÁÂÇ¥
48,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 340,126.9300967,37.48476297,Á¤ÁÂÇ¥
49,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 340,126.9300967,37.48476297,Á¤ÁÂÇ¥
50,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ¾à¼ö¾Ï±æ 43-1 ,126.9331983,37.45898207,Á¤ÁÂÇ¥
51,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î1417,126.9080372,37.48092288,Á¤ÁÂÇ¥
52,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î1945,126.965281,37.4767386,Á¤ÁÂÇ¥
53,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î26±æ 21 ,126.9348688,37.47299045,Á¤ÁÂÇ¥
54,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 258,126.9578635,37.48696443,Á¤ÁÂÇ¥
55,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1474,126.9142071,37.48145948,Á¤ÁÂÇ¥
56,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³­°î·Î57±æ 4-5,126.9144944,37.47997258,Á¤ÁÂÇ¥
57,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 133,126.9517628,37.47704837,Á¤ÁÂÇ¥
58,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 133,126.9517628,37.47704837,Á¤ÁÂÇ¥
59,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î203,126.9537813,37.4833008,Á¤ÁÂÇ¥
60,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î1587,126.9269396,37.48427782,Á¤ÁÂÇ¥
61,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î1841-1,126.9548441,37.48074135,Á¤ÁÂÇ¥
62,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 7080¾Õ,126.8436719,37.50682681,ÀÎ±ÙÁÂÇ¥
63,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 168,126.9529845,37.48021564,Á¤ÁÂÇ¥
64,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 172 ,126.9529491,37.48051293,Á¤ÁÂÇ¥
65,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1830,126.9531727,37.48077644,Á¤ÁÂÇ¥
66,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1840,126.9542976,37.4803625,Á¤ÁÂÇ¥
67,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1827,126.9534124,37.4813454,Á¤ÁÂÇ¥
68,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ºÀÃµ·Î 482,126.9534004,37.48173635,Á¤ÁÂÇ¥
69,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 195,126.9533554,37.48285942,Á¤ÁÂÇ¥
70,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 196,126.953805,37.48237927,Á¤ÁÂÇ¥
71,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 185,126.9526605,37.48179936,Á¤ÁÂÇ¥
72,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1817,126.9521463,37.48164375,Á¤ÁÂÇ¥
73,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1814,126.9515654,37.48103489,Á¤ÁÂÇ¥
74,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 173,126.9522549,37.48070801,Á¤ÁÂÇ¥
75,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 161,126.9521845,37.47960802,Á¤ÁÂÇ¥
76,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 312,126.9301515,37.48219319,Á¤ÁÂÇ¥
77,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 328,126.9299766,37.48344524,Á¤ÁÂÇ¥
78,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1618,126.9304419,37.4840751,Á¤ÁÂÇ¥
79,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1619,126.9304963,37.48463754,Á¤ÁÂÇ¥
80,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1615,126.9300855,37.48455443,Á¤ÁÂÇ¥
81,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 360,126.9295394,37.48636235,Á¤ÁÂÇ¥
82,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 355-1,126.9291724,37.48610036,Á¤ÁÂÇ¥
83,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1607,126.9292572,37.48443443,Á¤ÁÂÇ¥
84,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1603,126.9287844,37.48441862,Á¤ÁÂÇ¥
85,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1587,126.9269396,37.48427782,Á¤ÁÂÇ¥
86,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1598,126.9283341,37.48376512,Á¤ÁÂÇ¥
87,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1604,126.928945,37.48393826,Á¤ÁÂÇ¥
88,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 327,126.9294452,37.48351027,Á¤ÁÂÇ¥
89,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 315,126.9296297,37.48249263,Á¤ÁÂÇ¥
90,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 137,126.9340557,37.47115346,Á¤ÁÂÇ¥
91,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 111,126.9369585,37.47059713,Á¤ÁÂÇ¥
92,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 105,126.9375867,37.47051449,Á¤ÁÂÇ¥
93,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 97,126.9386682,37.47031575,Á¤ÁÂÇ¥
94,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 373,126.9285249,37.48739068,Á¤ÁÂÇ¥
95,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 373,126.9285249,37.48739068,Á¤ÁÂÇ¥
96,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²µ¿±æ 8,126.9277888,37.48750997,Á¤ÁÂÇ¥
97,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²µ¿±æ 8,126.9277888,37.48750997,Á¤ÁÂÇ¥
98,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²µ¿±æ 16,126.9269358,37.48737279,Á¤ÁÂÇ¥
99,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²µ¿±æ 16,126.9269358,37.48737279,Á¤ÁÂÇ¥
100,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²µ¿±æ 28,126.9256853,37.48717635,Á¤ÁÂÇ¥
101,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²µ¿±æ 28,126.9256853,37.48717635,Á¤ÁÂÇ¥
102,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ºÀÃµ·Î 279,126.9323044,37.48784831,Á¤ÁÂÇ¥
103,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ºÀÃµ·Î 279,126.9323044,37.48784831,Á¤ÁÂÇ¥
104,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ºÀÃµ·Î 212,126.9250654,37.48964414,Á¤ÁÂÇ¥
105,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ºÀÃµ·Î 212,126.9250654,37.48964414,Á¤ÁÂÇ¥
106,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ÀºÃµ·Î 114,126.9479777,37.48662571,Á¤ÁÂÇ¥
107,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ÀºÃµ·Î 114,126.9479777,37.48662571,Á¤ÁÂÇ¥
108,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ¾¦°í°³·Î 83,126.9457506,37.47947887,Á¤ÁÂÇ¥
109,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ¾¦°í°³·Î 83,126.9457506,37.47947887,Á¤ÁÂÇ¥
110,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1682,126.9372479,37.48402875,Á¤ÁÂÇ¥
111,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1682,126.9372479,37.48402875,Á¤ÁÂÇ¥
112,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1990,126.9698378,37.47499013,Á¤ÁÂÇ¥
113,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1990,126.9698378,37.47499013,Á¤ÁÂÇ¥
114,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 2056,126.9771939,37.47632429,Á¤ÁÂÇ¥
115,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 2056,126.9771939,37.47632429,Á¤ÁÂÇ¥
116,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³­°î·Î 247,126.9157707,37.47611541,Á¤ÁÂÇ¥
117,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³­°î·Î 247,126.9157707,37.47611541,Á¤ÁÂÇ¥
118,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³­°î·Î 225,126.916831,37.47429873,Á¤ÁÂÇ¥
119,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³­°î·Î 225,126.916831,37.47429873,Á¤ÁÂÇ¥
120,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 282,126.9313766,37.47977219,Á¤ÁÂÇ¥
121,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 282,126.9313766,37.47977219,Á¤ÁÂÇ¥
122,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 250,126.9338443,37.47818305,Á¤ÁÂÇ¥
123,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 250,126.9338443,37.47818305,Á¤ÁÂÇ¥
124,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ È£¾Ï·Î 589,126.9329623,37.47010823,Á¤ÁÂÇ¥
125,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ È£¾Ï·Î 589,126.9329623,37.47010823,Á¤ÁÂÇ¥
126,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ Á¶¿ø·Î12±æ 25,126.9077952,37.48256322,Á¤ÁÂÇ¥
127,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ Á¶¿ø·Î12±æ 25,126.9077952,37.48256322,Á¤ÁÂÇ¥
128,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ Á¶¿ø·Î 142,126.9180949,37.48540753,Á¤ÁÂÇ¥
129,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ Á¶¿ø·Î 142,126.9180949,37.48540753,Á¤ÁÂÇ¥
130,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1682,126.9372479,37.48402875,Á¤ÁÂÇ¥
131,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1682,126.9372479,37.48402875,Á¤ÁÂÇ¥
132,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1840,126.9542976,37.4803625,Á¤ÁÂÇ¥
133,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1840,126.9542976,37.4803625,Á¤ÁÂÇ¥
134,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 168,126.9529845,37.48021564,Á¤ÁÂÇ¥
135,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 168,126.9529845,37.48021564,Á¤ÁÂÇ¥
136,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 161,126.9521845,37.47960802,Á¤ÁÂÇ¥
137,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 161,126.9521845,37.47960802,Á¤ÁÂÇ¥
138,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1817,126.9521463,37.48164375,Á¤ÁÂÇ¥
139,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 1817,126.9521463,37.48164375,Á¤ÁÂÇ¥
140,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ºÀÃµ·Î 482,126.9534004,37.48173635,Á¤ÁÂÇ¥
141,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ºÀÃµ·Î 482,126.9534004,37.48173635,Á¤ÁÂÇ¥
142,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 195,126.9533554,37.48285942,Á¤ÁÂÇ¥
143,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 195,126.9533554,37.48285942,Á¤ÁÂÇ¥
144,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 196,126.953805,37.48237927,Á¤ÁÂÇ¥
145,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 196,126.953805,37.48237927,Á¤ÁÂÇ¥
146,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 371,126.9286032,37.48731669,Á¤ÁÂÇ¥
147,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 371,126.9286032,37.48731669,Á¤ÁÂÇ¥
148,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °úÃµ´ë·Î941,126.9813998,37.47467188,Á¤ÁÂÇ¥
149,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î1,126.9502884,37.45425061,Á¤ÁÂÇ¥
150,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ÀºÃµ·Î 69,126.9424711,37.48683988,Á¤ÁÂÇ¥
151,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ÀºÃµ·Î 69,126.9424711,37.48683988,Á¤ÁÂÇ¥
152,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 145,126.9518282,37.47795905,Á¤ÁÂÇ¥
153,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 145,126.9518282,37.47795905,Á¤ÁÂÇ¥
154,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 306,126.9567721,37.49104374,Á¤ÁÂÇ¥
155,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ °ü¾Ç·Î 306,126.9567721,37.49104374,Á¤ÁÂÇ¥
156,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²Çöµ¿ 1060-1,126.9804619,37.47632524,Á¤ÁÂÇ¥
157,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²Çöµ¿ 1060-1,126.9804619,37.47632524,Á¤ÁÂÇ¥
158,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 2022,126.9733094,37.47575495,Á¤ÁÂÇ¥
159,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³²ºÎ¼øÈ¯·Î 2022,126.9733094,37.47575495,Á¤ÁÂÇ¥
160,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ±¸·ÎµðÁöÅÐ´ÜÁö Áß¾Ó Á¤·ùÀå,128.6230922,36.90590648,ÀÎ±ÙÁÂÇ¥
161,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ±¸·ÎµðÁöÅÐ´ÜÁö Áß¾Ó Á¤·ùÀå,128.6230922,36.90590648,ÀÎ±ÙÁÂÇ¥
162,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î40,126.9449858,37.46991636,Á¤ÁÂÇ¥
163,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î40,126.9449858,37.46991636,Á¤ÁÂÇ¥
164,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ¹®¿µ¿©°í Á¤¹®,126.9508228,37.4654609,ÀÎ±ÙÁÂÇ¥
165,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ¹®¿µ¿©°í Á¤¹®,126.9508228,37.4654609,ÀÎ±ÙÁÂÇ¥
167,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ¹®¿µ¿©°í °Ç³ÊÆí,126.9508228,37.4654609,ÀÎ±ÙÁÂÇ¥
168,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 165,126.9332445,37.47374549,Á¤ÁÂÇ¥
169,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 165,126.9332445,37.47374549,Á¤ÁÂÇ¥
170,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ¹Ì¼ºÃ¼À°°ü ÀÔ±¸,126.9508228,37.4654609,ÀÎ±ÙÁÂÇ¥
171,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ¹Ì¼ºÃ¼À°°ü ÀÔ±¸,126.9508228,37.4654609,ÀÎ±ÙÁÂÇ¥
172,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³­°î·Î 358-1,126.9139163,37.48601782,Á¤ÁÂÇ¥
173,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³­°î·Î 358-1,126.9139163,37.48601782,Á¤ÁÂÇ¥
174,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³­°î·Î 349-1,126.9136165,37.48521746,Á¤ÁÂÇ¥
175,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ³­°î·Î 349-1,126.9136165,37.48521746,Á¤ÁÂÇ¥
